{

	type: "ENTITY_TILE_MAP";
	tileType: "WORLD_TILE_WOOD_FLOOR";
	tileRotationType: "WORLD_TILE_ROTATION_FLAT";
	tileYAxis: 0.000000;
	tilePos: 18.000000 2.000000 0.000000;
	tileType: "WORLD_TILE_WOOD_FLOOR";
	tileRotationType: "WORLD_TILE_ROTATION_FLAT";
	tileYAxis: 0.000000;
	tilePos: 19.000000 2.000000 0.000000;
	tileType: "WORLD_TILE_WOOD_FLOOR";
	tileRotationType: "WORLD_TILE_ROTATION_FLAT";
	tileYAxis: 0.000000;
	tilePos: 18.000000 1.000000 0.000000;
	tileType: "WORLD_TILE_WOOD_FLOOR";
	tileRotationType: "WORLD_TILE_ROTATION_FLAT";
	tileYAxis: 0.000000;
	tilePos: 19.000000 1.000000 0.000000;
	tileType: "WORLD_TILE_WOOD_FLOOR";
	tileRotationType: "WORLD_TILE_ROTATION_FLAT";
	tileYAxis: 0.000000;
	tilePos: 20.000000 2.000000 0.000000;
	tileType: "WORLD_TILE_WOOD_FLOOR";
	tileRotationType: "WORLD_TILE_ROTATION_FLAT";
	tileYAxis: 0.000000;
	tilePos: 20.000000 1.000000 0.000000;
	tileType: "WORLD_TILE_WOOD_FLOOR";
	tileRotationType: "WORLD_TILE_ROTATION_FLAT";
	tileYAxis: 0.000000;
	tilePos: 18.000000 3.000000 0.000000;
	tileType: "WORLD_TILE_WOOD_FLOOR";
	tileRotationType: "WORLD_TILE_ROTATION_FLAT";
	tileYAxis: 0.000000;
	tilePos: 19.000000 3.000000 0.000000;
	tileType: "WORLD_TILE_WOOD_FLOOR";
	tileRotationType: "WORLD_TILE_ROTATION_FLAT";
	tileYAxis: 0.000000;
	tilePos: 20.000000 3.000000 0.000000;
	tileType: "WORLD_TILE_WOOD_FLOOR";
	tileRotationType: "WORLD_TILE_ROTATION_FLAT";
	tileYAxis: 0.000000;
	tilePos: 18.000000 0.000000 0.000000;
	tileType: "WORLD_TILE_WOOD_FLOOR";
	tileRotationType: "WORLD_TILE_ROTATION_FLAT";
	tileYAxis: 0.000000;
	tilePos: 20.000000 0.000000 0.000000;
	tileType: "WORLD_TILE_WOOD_FLOOR";
	tileRotationType: "WORLD_TILE_ROTATION_FLAT";
	tileYAxis: 0.000000;
	tilePos: 19.000000 0.000000 0.000000;
	tileType: "WORLD_TILE_WOOD_FLOOR";
	tileRotationType: "WORLD_TILE_ROTATION_FLAT";
	tileYAxis: 0.000000;
	tilePos: 18.000000 -1.000000 0.000000;
	tileType: "WORLD_TILE_WOOD_FLOOR";
	tileRotationType: "WORLD_TILE_ROTATION_FLAT";
	tileYAxis: 0.000000;
	tilePos: 19.000000 -2.000000 0.000000;
	tileType: "WORLD_TILE_WOOD_FLOOR";
	tileRotationType: "WORLD_TILE_ROTATION_FLAT";
	tileYAxis: 0.000000;
	tilePos: 20.000000 -1.000000 0.000000;
	tileType: "WORLD_TILE_WOOD_FLOOR";
	tileRotationType: "WORLD_TILE_ROTATION_FLAT";
	tileYAxis: 0.000000;
	tilePos: 19.000000 -1.000000 0.000000;
	tileType: "WORLD_TILE_WOOD_FLOOR";
	tileRotationType: "WORLD_TILE_ROTATION_FLAT";
	tileYAxis: 0.000000;
	tilePos: 18.000000 -2.000000 0.000000;
	tileType: "WORLD_TILE_WOOD_FLOOR";
	tileRotationType: "WORLD_TILE_ROTATION_FLAT";
	tileYAxis: 0.000000;
	tilePos: 20.000000 -2.000000 0.000000;
}

